Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601,Dave Green,PG-13,112,2016-06-03 00:00:00
The Purge: Election Year,10000000.0,79213375,,R,105,2016-07-01 00:00:00
Alice Through the Looking Glass,170000000.0,77041381,,PG,112,2016-05-27 00:00:00
Pete's Dragon (2016),65000000.0,76233151,,PG,102,2016-08-12 00:00:00
The Girl on the Train (2016),45000000.0,75395035,Tate Taylor,R,112,2016-10-07 00:00:00
Boo! A Madea Halloween,20000000.0,73206343,Tyler Perry,PG-13,103,2016-10-21 00:00:00
Storks,70000000.0,72679278,Nick Stoller,PG,89,2016-09-23 00:00:00
10 Cloverfield Lane,,72082998,,PG-13,105,2016-03-11 00:00:00
Lights Out,4900000.0,67268835,,PG-13,81,2016-07-22 00:00:00
Hacksaw Ridge,,67209615,Mel Gibson,R,131,2016-11-04 00:00:00
The Divergent Series: Allegiant,,66184051,Robert Schwentke,PG-13,121,2016-03-18 00:00:00
Now You See Me 2,,65075540,Jon Chu,PG-13,129,2016-06-10 00:00:00
Ice Age: Collision Course,105000000.0,64063008,,PG,94,2016-07-22 00:00:00
The Boss,29000000.0,63285885,,R,99,2016-04-08 00:00:00
London Has Fallen,60000000.0,62524260,,R,99,2016-03-04 00:00:00
Miracles from Heaven,13000000.0,61705123,,PG,109,2016-03-16 00:00:00
Deepwater Horizon,110000000.0,61433527,Peter Berg,PG-13,107,2016-09-30 00:00:00
Why Him?,38000000.0,60191438,,R,111,2016-12-23 00:00:00
My Big Fat Greek Wedding 2,,59689605,Kirk Jones,PG-13,94,2016-03-25 00:00:00
Jack Reacher: Never Go Back,60000000.0,58697076,Edward Zwick,PG-13,118,2016-10-21 00:00:00
Fences,24000000.0,57393468,Denzel Washington,PG-13,138,2016-12-16 00:00:00
Me Before You,20000000.0,56245075,,PG-13,110,2016-06-03 00:00:00
The BFG,140000000.0,55483770,Steven Spielberg,PG,117,2016-07-01 00:00:00
Neighbors 2: Sorority Rising,,55455765,Nick Stoller,R,91,2016-05-20 00:00:00
The Shallows,17000000.0,55124043,Jaume Collet-Serra,PG-13,85,2016-06-24 00:00:00
Office Christmas Party,45000000.0,54767494,"Josh Gordon, Will Speck",R,105,2016-12-09 00:00:00
Assassin's Creed,125000000.0,54647948,,PG-13,140,2016-12-21 00:00:00
Barbershop: The Next Cut,,54030051,Malcolm D. Lee,PG-13,112,2016-04-15 00:00:00
13 Hours: The Secret Soldiers of Benghazi,50000000.0,52853219,Michael Bay,R,144,2016-01-15 00:00:00
Lion,,48647617,,PG-13,120,2016-11-25 00:00:00
The Huntsman: Winter's War,115000000.0,48390190,,PG-13,114,2016-04-22 00:00:00
Kubo and the Two Strings,60000000.0,48023088,Travis Knight,PG,101,2016-08-19 00:00:00
Manchester by the Sea,,47532151,Kenneth Lonergan,R,135,2016-11-18 00:00:00
Warcraft,160000000.0,47365290,Duncan Jones,PG-13,123,2016-06-10 00:00:00
How to Be Single,38000000.0,46843513,,R,110,2016-02-12 00:00:00
Mike and Dave Need Wedding Dates,33000000.0,46009673,,R,98,2016-07-08 00:00:00
War Dogs,,43034523,Todd Phillips,R,114,2016-08-19 00:00:00
Almost Christmas,17000000.0,42065185,,PG-13,112,2016-11-11 00:00:00
Money Monster,27000000.0,41012075,Jodie Foster,R,95,2016-05-13 00:00:00
Allied,85000000.0,40098064,Robert Zemeckis,R,121,2016-11-23 00:00:00
Nerve,,38583626,"Henry Joost, Ariel Schulman",PG-13,96,2016-07-27 00:00:00
Risen,20000000.0,36880033,Kevin Reynolds,PG-13,107,2016-02-19 00:00:00
The Nice Guys,,36261763,Shane Black,R,116,2016-05-20 00:00:00
The Boy (2016),10000000.0,35819556,William Brent Bell,PG-13,98,2016-01-22 00:00:00
Dirty Grandpa,,35593113,,R,102,2016-01-22 00:00:00
Ouija: Origin of Evil,9000000.0,35144505,Mike Flanagan,PG-13,99,2016-10-21 00:00:00
The 5th Wave,38000000.0,34916787,,PG-13,112,2016-01-22 00:00:00
Inferno,75000000.0,34343574,Ron Howard,PG-13,121,2016-10-28 00:00:00
Mother's Day,25000000.0,32492859,Garry Marshall,PG-13,118,2016-04-29 00:00:00
Patriots Day,45000000.0,31886361,Peter Berg,R,130,2016-12-21 00:00:00
Gods of Egypt,140000000.0,31153464,Alex Proyas,PG-13,127,2016-02-26 00:00:00
Collateral Beauty,36000000.0,31016021,David Frankel,PG-13,94,2016-12-16 00:00:00
"Hail, Caesar!",22000000.0,30498085,"Ethan Coen, Joel Coen",PG-13,100,2016-02-05 00:00:00
When the Bough Breaks,10000000.0,29747603,,PG-13,107,2016-09-09 00:00:00
Zoolander 2,,28848693,Ben Stiller,PG-13,100,2016-02-12 00:00:00
The Finest Hours,,27569558,Craig Gillespie,PG-13,109,2016-01-29 00:00:00
Florence Foster Jenkins,,27383770,Stephen Frears,PG-13,110,2016-08-12 00:00:00
Hell or High Water,12000000.0,27007844,,R,102,2016-08-12 00:00:00
Moonlight (2016),,26895353,,R,110,2016-10-21 00:00:00
The Forest,10000000.0,26594261,,PG-13,95,2016-01-08 00:00:00
Ben-Hur (2016),100000000.0,26410477,Timur Bekmambetov,PG-13,123,2016-08-19 00:00:00
The Witch,,25138705,,R,92,2016-02-19 00:00:00
Bridget Jones's Baby,35000000.0,24252420,,R,122,2016-09-16 00:00:00
Kevin Hart: What Now?,9900000.0,23591043,,R,96,2016-10-14 00:00:00
