Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate
Selma,20000000.0,52076908,Ava DuVernay,PG-13,127,2014-12-25 00:00:00
Muppets Most Wanted,50000000.0,51183113,,PG,112,2014-03-21 00:00:00
Ouija,5000000.0,50856010,Stiles White,PG-13,89,2014-10-24 00:00:00
The Boxtrolls,60000000.0,50837305,"Graham Annable, Anthony Stacchi",PG,97,2014-09-26 00:00:00
Jack Ryan: Shadow Recruit,60000000.0,50577412,Kenneth Branagh,PG-13,100,2014-01-17 00:00:00
If I Stay,11000000.0,50474843,R.J. Cutler,PG-13,106,2014-08-22 00:00:00
The Book of Life (2014),50000000.0,50151543,Jorge R. Gutierrez,PG,95,2014-10-17 00:00:00
About Last Night (2014),12500000.0,48637684,Steve Pink,R,100,2014-02-14 00:00:00
Into The Storm,50000000.0,47602194,Steven Quale,PG-13,89,2014-08-08 00:00:00
The Judge,50000000.0,47119388,David Dobkin,R,141,2014-10-10 00:00:00
Jersey Boys,40000000.0,47047013,Clint Eastwood,R,134,2014-06-20 00:00:00
Blended,40000000.0,46294610,Frank Coraci,PG-13,117,2014-05-23 00:00:00
The Giver,25000000.0,45090374,Phillip Noyce,PG-13,91,2014-08-15 00:00:00
St. Vincent,,44137712,Theodore Melfi,PG-13,103,2014-10-10 00:00:00
Need for Speed,66000000.0,43577636,Scott Waugh,PG-13,130,2014-03-14 00:00:00
A Million Ways to Die in the West,40000000.0,43139300,Seth MacFarlane,R,116,2014-05-30 00:00:00
John Wick,20000000.0,43037835,"David Leitch, Chad Stahelski",R,96,2014-10-24 00:00:00
Birdman,18000000.0,42340598,Alejandro González Iñárritu,R,119,2014-10-17 00:00:00
Dolphin Tale 2,36000000.0,42024533,,PG,107,2014-09-12 00:00:00
The Expendables 3,,39322544,Patrick Hughes,PG-13,103,2014-08-15 00:00:00
Earth to Echo,13000000.0,38934842,Dave Green,PG,91,2014-07-02 00:00:00
Sex Tape,40000000.0,38543473,Jake Kasdan,R,94,2014-07-18 00:00:00
Wild (2014),,37880356,Jean-Marc Vallee,R,115,2014-12-03 00:00:00
Million Dollar Arm,25000000.0,36457627,Craig Gillespie,PG,124,2014-05-16 00:00:00
The Theory of Everything,15000000.0,35893537,,PG-13,123,2014-11-07 00:00:00
This is Where I Leave You,19800000.0,34296320,Shawn Levy,R,103,2014-09-19 00:00:00
The Gambler,25000000.0,33680992,Rupert Wyatt,R,111,2014-12-25 00:00:00
Paranormal Activity: The Marked Ones,5000000.0,32462372,,R,84,2014-01-03 00:00:00
Nightcrawler,8500000.0,32381217,Dan Gilroy,R,117,2014-10-31 00:00:00
Chef,,31424003,Jon Favreau,R,115,2014-05-09 00:00:00
Get On Up,,30703100,Tate Taylor,PG-13,138,2014-08-01 00:00:00
3 Days to Kill,28000000.0,30697999,McG,PG-13,117,2014-02-21 00:00:00
Deliver Us From Evil,30000000.0,30577122,Scott Derrickson,R,118,2014-07-02 00:00:00
When the Game Stands Tall,15000000.0,30127963,Thomas Carter,PG,115,2014-08-22 00:00:00
Draft Day,,28842237,Ivan Reitman,PG-13,110,2014-04-11 00:00:00
Oculus,5000000.0,27695246,Mike Flanagan,R,105,2014-04-11 00:00:00
The Best of Me,26000000.0,26766213,Michael Hoffman,PG-13,117,2014-10-17 00:00:00
A Walk Among the Tombstones,28000000.0,26307600,Scott Frank,R,114,2014-09-19 00:00:00
That Awkward Moment,8000000.0,26068955,Tom Gormican,R,94,2014-01-31 00:00:00
Boyhood,4000000.0,25352281,Richard Linklater,R,166,2014-07-11 00:00:00
Star Wars: The Force Awakens,245000000.0,936662225,J.J. Abrams,PG-13,136,2015-12-18 00:00:00
Jurassic World,150000000.0,652270625,Colin Trevorrow,PG-13,124,2015-06-12 00:00:00
Avengers: Age of Ultron,250000000.0,459005868,Joss Whedon,PG-13,141,2015-05-01 00:00:00
Inside Out,175000000.0,356461711,Pete Docter,PG,94,2015-06-19 00:00:00
Furious 7,190000000.0,353007020,James Wan,PG-13,137,2015-04-03 00:00:00
Minions,74000000.0,336045770,Pierre Coffin,PG,91,2015-07-10 00:00:00
The Hunger Games: Mockingjay - Part 2,160000000.0,281723902,Francis Lawrence,PG-13,137,2015-11-20 00:00:00
The Martian,108000000.0,228433663,Ridley Scott,PG-13,141,2015-10-02 00:00:00
Cinderella (2015),95000000.0,201151353,Kenneth Branagh,PG,112,2015-03-13 00:00:00
Spectre,245000000.0,200074609,Sam Mendes,PG-13,148,2015-11-06 00:00:00
Mission: Impossible - Rogue Nation,150000000.0,195042377,Christopher McQuarrie,PG-13,130,2015-07-31 00:00:00
Pitch Perfect 2,29000000.0,184296230,Elizabeth Banks,PG-13,115,2015-05-15 00:00:00
The Revenant,135000000.0,183637894,Alejandro González Iñárritu,R,151,2015-12-25 00:00:00
Ant-Man,130000000.0,180202163,Peyton Reed,PG-13,117,2015-07-17 00:00:00
Home (2015),135000000.0,177397510,Tim Johnson,PG,94,2015-03-27 00:00:00
Hotel Transylvania 2,80000000.0,169700110,,PG,89,2015-09-25 00:00:00
Fifty Shades of Grey,40000000.0,166167230,,R,125,2015-02-13 00:00:00
The SpongeBob Movie: Sponge Out of Water,74000000.0,162994032,"Mike Mitchell, Paul Tibbitt",PG,93,2015-02-06 00:00:00
Straight Outta Compton,28000000.0,161197785,F. Gary Gray,R,147,2015-08-14 00:00:00
San Andreas,110000000.0,155190832,Brad Peyton,PG-13,114,2015-05-29 00:00:00
Mad Max: Fury Road,150000000.0,153636354,George Miller,R,120,2015-05-15 00:00:00
Daddy's Home,,150357137,Sean Anders,PG-13,96,2015-12-25 00:00:00
The Divergent Series: Insurgent,110000000.0,130179072,Robert Schwentke,PG-13,119,2015-03-20 00:00:00
The Peanuts Movie,99000000.0,130178411,,G,93,2015-11-06 00:00:00
Kingsman: The Secret Service,81000000.0,128261724,Matthew Vaughn,R,129,2015-02-13 00:00:00
The Good Dinosaur,,123087120,,PG,100,2015-11-25 00:00:00
Spy,65000000.0,110825712,Paul Feig,R,120,2015-06-05 00:00:00
Trainwreck,35000000.0,110212700,Judd Apatow,R,125,2015-07-17 00:00:00
Creed,35000000.0,109767581,Ryan Coogler,PG-13,133,2015-11-25 00:00:00
Tomorrowland,190000000.0,93436322,Brad Bird,PG,130,2015-05-22 00:00:00
Get Hard,40000000.0,90411453,Etan Cohen,R,100,2015-03-27 00:00:00
Terminator: Genisys,155000000.0,89760956,Alan Taylor,PG-13,126,2015-07-01 00:00:00
Taken 3,48000000.0,89256424,Olivier Megaton,PG-13,109,2015-01-09 00:00:00
Sisters,30000000.0,87044645,Jason Moore,R,118,2015-12-18 00:00:00
Alvin and the Chipmunks: The Road Chip,,85886987,,PG,86,2015-12-18 00:00:00
Maze Runner: The Scorch Trials,61000000.0,81697192,Wes Ball,PG-13,131,2015-09-18 00:00:00
Ted 2,68000000.0,81476385,Seth MacFarlane,R,115,2015-06-26 00:00:00
Goosebumps,58000000.0,80080379,Rob Letterman,PG,103,2015-10-16 00:00:00
Pixels,88000000.0,78747585,Chris Columbus,PG-13,105,2015-07-24 00:00:00
Paddington,55000000.0,76271832,Paul King,PG,95,2015-01-16 00:00:00
The Intern,35000000.0,75764672,Nancy Meyers,PG-13,121,2015-09-25 00:00:00
Bridge of Spies,40000000.0,72313754,Steven Spielberg,PG-13,140,2015-10-16 00:00:00
Paul Blart: Mall Cop 2,30000000.0,71038190,Andy Fickman,PG,94,2015-04-17 00:00:00
The Big Short,28000000.0,70259870,Adam McKay,R,130,2015-12-11 00:00:00
War Room,3000000.0,67790117,Alex Kendrick,PG,120,2015-08-28 00:00:00
Magic Mike XXL,14800000.0,66013057,Gregory Jacobs,R,115,2015-07-01 00:00:00
The Visit,5000000.0,65206105,M. Night Shyamalan,PG-13,94,2015-09-11 00:00:00
The Wedding Ringer,23000000.0,64460211,Jeremy Garelick,R,101,2015-01-16 00:00:00
Black Mass,53000000.0,62575678,Scott Cooper,R,122,2015-09-18 00:00:00
Vacation,31000000.0,58884188,Jonathan M. Goldstein,R,99,2015-07-29 00:00:00
The Perfect Guy,12000000.0,57027435,,PG-13,100,2015-09-11 00:00:00
Joy,60000000.0,56451232,David O. Russell,PG-13,124,2015-12-25 00:00:00
Fantastic Four,120000000.0,56117548,Josh Trank,PG-13,100,2015-08-07 00:00:00
The Hateful Eight,44000000.0,54117416,Quentin Tarantino,R,167,2015-12-25 00:00:00
Focus (2015),50100000.0,53862963,"Glenn Ficarra, John Requa",R,104,2015-02-27 00:00:00
Southpaw,30000000.0,52421953,Antoine Fuqua,R,123,2015-07-24 00:00:00
Insidious Chapter 3,10000000.0,52218558,Leigh Whannell,PG-13,97,2015-06-05 00:00:00
Poltergeist (2015),35000000.0,47425125,Gil Kenan,PG-13,93,2015-05-22 00:00:00
Jupiter Ascending,176000000.0,47387723,Lilly & Lana Wachowski,PG-13,127,2015-02-06 00:00:00
Sicario,30000000.0,46889293,Denis Villeneuve,R,121,2015-09-18 00:00:00
The Man From U.N.C.L.E.,75000000.0,45445109,Guy Ritchie,PG-13,116,2015-08-14 00:00:00
Spotlight,,45055776,Tom McCarthy,R,128,2015-11-06 00:00:00
"McFarland, USA",,44482410,Niki Caro,PG,128,2015-02-20 00:00:00
The Gift (2015),5000000.0,43787265,,R,108,2015-08-07 00:00:00
Everest (2015),55000000.0,43482270,Baltasar Kormakur,PG-13,121,2015-09-18 00:00:00
